Timestamp,Data
2025-01-08T14:50:06.003721,0:6,3:6,2:6,5:6,5:6,5:6,5:6,3:6,-2:6,6:6,4:6,6:6,4:6,3:6,1:6,2:6,-5:6,-1:6,4:6,4:6,3:6,3:6,3:6,2:6,-12:6,0:6,4:6,3:6,4:6,5:6,1:6,4:6,-15:6,-3:6,5:6,3:6,1:6,2:6,3:6,2:6,-9:6,0:6,3:6,4:6,4:6,3:6,4:6,2:6,-11:6,1:6,4:6,5:6,4:6,4:6,7:6,6:6,-4:6,3:6,7:6,6:6,3:6,5:6,7:6,5:6,
2025-01-08T14:50:06.099199,1:4,5:0,3:4,6:0,5:4,6:4,6:4,5:4,-1:4,6:0,6:0,6:0,6:4,5:4,4:4,4:4,-4:4,0:4,5:4,4:4,4:4,4:4,3:4,3:4,-10:4,1:4,6:0,6:4,7:0,6:4,4:4,6:4,-14:4,-2:4,5:0,4:4,3:4,4:4,4:4,4:4,-8:4,0:4,5:4,5:4,7:0,4:4,6:4,3:4,-9:4,2:4,6:0,6:4,5:4,5:4,8:0,6:4,-3:4,4:0,9:0,8:0,4:4,6:4,8:0,6:0,
2025-01-08T14:50:06.190389,1:4,5:0,4:4,5:4,6:4,7:4,5:4,5:4,-1:4,6:0,5:0,5:4,6:4,3:4,4:4,2:4,-4:4,0:4,4:4,5:4,3:4,4:4,4:4,2:4,-11:4,1:4,6:0,5:4,6:4,5:4,3:4,6:4,-14:4,-2:4,5:0,5:4,3:4,3:4,4:4,2:4,-8:4,0:4,4:4,4:4,6:4,4:4,5:4,4:4,-10:4,2:4,5:0,5:4,4:4,5:4,7:4,7:4,-3:4,4:0,9:0,7:0,5:4,5:4,8:0,6:4,
2025-01-08T14:50:06.288813,2:4,5:0,4:4,6:0,6:4,8:0,6:4,5:4,0:4,7:0,6:0,7:0,6:4,6:4,5:4,3:4,-4:4,0:4,5:4,6:4,4:4,5:4,5:4,3:4,-10:4,1:4,7:0,5:4,7:0,6:4,3:4,6:4,-14:4,-2:4,6:0,5:4,3:4,5:4,4:4,5:4,-8:4,1:4,5:0,5:4,7:0,5:4,6:4,4:4,-9:4,2:4,6:0,6:0,5:4,6:4,8:0,6:4,-2:4,4:0,10:0,7:0,5:4,6:4,9:0,7:0,
2025-01-08T14:50:06.395452,2:4,5:0,4:4,6:0,5:4,8:0,5:4,5:4,0:4,6:0,6:0,6:0,6:4,5:4,3:4,3:4,-4:4,0:4,5:4,6:4,3:4,5:4,5:4,2:4,-10:4,1:4,6:0,5:4,7:0,6:4,3:4,6:4,-14:4,-2:4,6:0,5:4,3:4,4:4,4:4,4:4,-8:4,0:4,5:0,5:4,7:0,5:4,6:4,4:4,-10:4,2:4,5:0,6:0,4:4,5:4,8:0,7:0,-2:4,4:0,9:0,7:0,5:4,6:4,9:0,7:0,
2025-01-08T14:50:06.512970,2:4,5:0,4:4,6:0,6:4,8:0,6:4,5:4,0:4,7:0,6:0,7:0,6:4,5:4,5:4,3:4,-3:4,1:4,6:0,5:4,4:4,5:4,6:4,3:4,-10:4,1:4,7:0,6:4,7:0,6:4,4:4,6:4,-14:4,-1:4,6:0,6:4,3:4,5:4,4:4,4:4,-7:4,1:4,5:4,6:0,7:0,4:4,6:4,5:4,-9:4,2:4,6:0,6:0,5:4,5:4,8:0,8:0,-2:4,5:0,10:0,8:0,6:4,6:4,9:0,8:0,
2025-01-08T14:50:06.598290,2:4,5:0,4:4,6:0,6:4,7:4,6:4,5:4,0:4,7:0,6:0,6:0,7:0,5:4,4:4,3:4,-4:4,0:4,5:0,5:4,4:4,4:4,5:4,3:4,-10:4,1:4,6:0,5:4,7:0,6:4,4:4,6:4,-14:4,-2:4,6:0,6:4,3:4,4:4,4:4,4:4,-8:4,1:4,5:0,5:4,6:4,4:4,6:4,4:4,-9:4,2:4,6:0,6:0,5:4,6:4,8:4,8:0,-3:4,4:0,9:0,7:0,5:4,6:4,9:0,7:0,
2025-01-08T14:50:06.695835,2:4,6:0,5:4,7:0,6:4,7:0,6:4,4:4,0:4,7:0,7:0,7:0,7:0,5:4,5:4,4:4,-4:4,0:4,5:4,7:0,4:4,5:4,5:4,4:4,-9:4,1:4,7:0,6:0,7:0,6:4,4:4,7:4,-13:4,-1:4,7:0,6:4,3:4,5:4,4:4,4:4,-7:4,1:4,5:0,7:0,7:0,4:4,7:4,5:4,-9:4,3:4,7:0,7:0,6:4,7:4,8:0,8:0,-2:4,5:0,10:0,8:0,6:4,6:4,10:0,8:0,
2025-01-08T14:50:06.795456,2:4,5:0,4:4,6:0,5:4,7:0,6:4,5:4,0:4,7:0,6:0,6:0,7:0,5:4,4:4,3:4,-4:4,0:4,5:0,6:4,3:4,5:4,4:4,3:4,-10:4,1:4,6:0,5:4,7:0,6:4,3:4,6:4,-14:4,-2:4,6:0,6:4,3:4,4:4,4:4,4:4,-8:4,0:4,5:4,5:4,7:0,4:4,6:4,4:4,-9:4,2:4,6:0,6:0,5:4,5:4,9:0,8:0,-2:4,4:0,10:0,7:0,5:4,6:4,9:0,8:0,
2025-01-08T14:50:06.898725,2:4,5:0,5:4,7:0,6:4,8:0,6:4,4:4,0:4,7:0,6:0,7:0,7:0,5:4,5:4,3:4,-3:4,0:4,6:0,7:0,4:4,5:4,6:4,4:4,-9:4,2:4,7:0,6:0,8:0,6:4,4:4,7:4,-14:4,-1:4,7:0,6:4,4:4,5:4,6:4,5:4,-7:4,1:4,6:0,6:0,7:0,6:4,6:4,4:4,-9:4,3:4,7:0,7:0,6:4,6:4,9:0,8:0,-2:4,5:0,10:0,8:0,6:4,7:4,10:0,8:0,
2025-01-08T14:50:06.986710,2:4,5:0,4:4,6:0,5:4,7:0,6:4,5:4,0:4,7:0,6:0,7:0,7:0,5:4,4:4,3:4,-4:4,0:4,5:0,6:4,4:4,5:4,4:4,3:4,-9:4,1:4,6:0,6:4,7:0,5:4,4:4,6:4,-14:4,-1:4,7:0,5:4,3:4,5:4,4:4,3:4,-8:4,1:4,6:0,5:4,7:0,4:4,7:4,4:4,-9:4,2:4,6:0,7:0,5:4,5:4,8:0,7:4,-2:4,4:0,10:0,7:0,5:4,6:4,9:0,6:0,
2025-01-08T14:50:07.096083,3:4,5:0,5:4,7:0,6:4,8:0,7:4,6:0,0:4,7:0,7:0,7:0,7:0,5:4,5:4,4:4,-3:4,1:4,6:0,6:0,4:4,5:4,6:4,4:4,-9:4,1:4,7:0,6:4,8:0,6:4,5:4,7:4,-14:4,-1:4,7:0,6:4,4:4,6:4,5:4,4:4,-7:4,2:4,6:0,5:4,7:0,6:4,7:4,4:4,-9:4,3:4,7:0,7:0,6:4,7:4,10:0,8:0,-1:4,5:0,10:0,8:0,6:4,7:4,10:0,7:0,
