Timestamp,Data
2025-01-08T16:47:50.760390,Sensor initialization...
2025-01-08T16:47:50.781092,CUSTOM_RANGING_SENSOR_Init failed
2025-01-08T16:47:52.913045,Sensor initialization...
2025-01-08T16:47:52.939184,CUSTOM_RANGING_SENSOR_Init failed
2025-01-08T16:48:01.597019,Sensor initialization...
2025-01-08T16:48:01.622340,CUSTOM_RANGING_SENSOR_Init failed
2025-01-08T16:48:02.442558,Sensor initialization...
2025-01-08T16:48:02.463512,CUSTOM_RANGING_SENSOR_Init failed
2025-01-08T16:48:24.530541,Sensor initialization...
2025-01-08T16:48:27.171824,12:6,13:6,11:6,14:6,14:6,19:6,20:6,18:6,15:6,17:6,14:6,16:6,14:6,16:6,16:6,19:6,15:6,12:6,14:6,14:6,13:6,16:6,18:6,19:6,13:6,15:6,15:6,15:6,16:6,17:6,17:6,21:6,14:6,13:6,17:6,15:6,14:6,17:6,19:6,19:6,19:6,17:6,16:6,17:6,17:6,18:6,21:6,19:6,19:6,18:6,19:6,19:6,18:6,19:6,24:6,23:6,20:6,21:6,22:6,21:6,18:6,21:6,24:6,22:6,12:6,13:6,11:6,14:6,14:6,19:6,20:6,18:6,15:6,17:6,14:6,16:6,14:6,16:6,16:6,19:6,15:6,12:6,14:6,14:6,13:6,16:6,18:6,19:6,13:6,15:6,15:6,15:6,16:6,17:6,17:6,21:6,14:6,13:6,17:6,15:6,14:6,17:6,19:6,19:6,19:6,17:6,16:6,17:6,17:6,18:6,21:6,19:6,19:6,18:6,19:6,19:6,18:6,19:6,24:6,23:6,20:6,21:6,22:6,21:6,18:6,21:6,24:6,22:6,
2025-01-08T16:48:27.273720,13:0,14:0,12:0,15:0,15:0,20:0,20:0,18:0,16:0,18:0,16:0,16:0,16:0,17:0,19:0,20:0,16:0,13:0,16:0,15:0,15:0,17:0,20:0,19:0,14:0,16:0,16:0,16:0,18:0,18:0,17:0,21:0,15:0,15:0,18:0,16:0,15:0,18:0,20:0,20:0,20:0,19:0,18:0,18:0,18:0,18:0,23:0,21:0,20:0,20:0,20:0,20:0,19:0,20:0,25:0,25:0,23:0,21:0,23:0,21:0,19:0,21:0,26:0,22:0,13:0,14:0,12:0,15:0,15:0,20:0,20:0,18:0,16:0,18:0,16:0,16:0,16:0,17:0,19:0,20:0,16:0,13:0,16:0,15:0,15:0,17:0,20:0,19:0,14:0,16:0,16:0,16:0,18:0,18:0,17:0,21:0,15:0,15:0,18:0,16:0,15:0,18:0,20:0,20:0,20:0,19:0,18:0,18:0,18:0,18:0,23:0,21:0,20:0,20:0,20:0,20:0,19:0,20:0,25:0,25:0,23:0,21:0,23:0,21:0,19:0,21:0,26:0,22:0,
2025-01-08T16:48:27.364107,13:0,14:0,12:0,15:0,14:0,20:0,20:0,18:0,16:0,18:0,15:0,17:0,16:0,16:0,18:0,19:0,16:0,12:0,15:0,15:0,14:0,17:0,19:0,19:0,14:0,15:0,16:0,16:0,18:0,18:0,17:0,21:0,14:0,14:0,18:0,16:0,15:0,19:0,19:0,19:0,20:0,18:0,17:0,17:0,19:0,18:0,22:0,21:0,20:0,20:0,19:0,20:0,19:0,20:0,26:0,25:0,22:0,22:0,23:0,20:0,19:0,21:0,26:0,22:0,13:0,14:0,12:0,15:0,14:0,20:0,20:0,18:0,16:0,18:0,15:0,17:0,16:0,16:0,18:0,19:0,16:0,12:0,15:0,15:0,14:0,17:0,19:0,19:0,14:0,15:0,16:0,16:0,18:0,18:0,17:0,21:0,14:0,14:0,18:0,16:0,15:0,19:0,19:0,19:0,20:0,18:0,17:0,17:0,19:0,18:0,22:0,21:0,20:0,20:0,19:0,20:0,19:0,20:0,26:0,25:0,22:0,22:0,23:0,20:0,19:0,21:0,26:0,22:0,
2025-01-08T16:48:27.459642,13:0,15:0,12:0,15:0,16:0,20:0,21:0,19:0,17:0,18:0,16:0,18:0,17:0,17:0,18:0,18:0,16:0,14:0,16:0,16:0,15:0,18:0,19:0,18:0,16:0,17:0,17:0,17:0,18:0,18:0,19:0,22:0,15:0,14:0,18:0,16:0,16:0,19:0,19:0,21:0,21:0,18:0,19:0,18:0,19:0,19:0,24:0,22:0,20:0,20:0,20:0,20:0,20:0,21:0,26:0,24:0,23:0,23:0,24:0,21:0,20:0,23:0,26:0,24:0,13:0,15:0,12:0,15:0,16:0,20:0,21:0,19:0,17:0,18:0,16:0,18:0,17:0,17:0,18:0,18:0,16:0,14:0,16:0,16:0,15:0,18:0,19:0,18:0,16:0,17:0,17:0,17:0,18:0,18:0,19:0,22:0,15:0,14:0,18:0,16:0,16:0,19:0,19:0,21:0,21:0,18:0,19:0,18:0,19:0,19:0,24:0,22:0,20:0,20:0,20:0,20:0,20:0,21:0,26:0,24:0,23:0,23:0,24:0,21:0,20:0,23:0,26:0,24:0,
2025-01-08T16:48:27.561000,13:0,14:0,12:0,16:0,16:0,19:0,21:0,19:0,16:0,18:0,15:0,17:0,16:0,16:0,19:0,20:0,16:0,13:0,16:0,16:0,15:0,17:0,19:0,20:0,15:0,16:0,16:0,16:0,18:0,18:0,19:0,22:0,15:0,15:0,18:0,16:0,16:0,19:0,20:0,22:0,20:0,18:0,18:0,17:0,19:0,19:0,23:0,20:0,21:0,20:0,19:0,20:0,19:0,21:0,24:0,25:0,22:0,22:0,24:0,21:0,19:0,22:0,26:0,23:0,13:0,14:0,12:0,16:0,16:0,19:0,21:0,19:0,16:0,18:0,15:0,17:0,16:0,16:0,19:0,20:0,16:0,13:0,16:0,16:0,15:0,17:0,19:0,20:0,15:0,16:0,16:0,16:0,18:0,18:0,19:0,22:0,15:0,15:0,18:0,16:0,16:0,19:0,20:0,22:0,20:0,18:0,18:0,17:0,19:0,19:0,23:0,20:0,21:0,20:0,19:0,20:0,19:0,21:0,24:0,25:0,22:0,22:0,24:0,21:0,19:0,22:0,26:0,23:0,
2025-01-08T16:48:27.665772,13:0,15:0,13:0,16:0,15:0,21:0,21:0,20:0,17:0,19:0,16:0,17:0,17:0,16:0,20:0,20:0,16:0,14:0,16:0,16:0,15:0,18:0,20:0,20:0,16:0,17:0,17:0,17:0,18:0,18:0,19:0,23:0,15:0,15:0,18:0,17:0,16:0,19:0,20:0,21:0,21:0,19:0,19:0,18:0,20:0,19:0,24:0,22:0,20:0,20:0,21:0,21:0,20:0,22:0,25:0,25:0,24:0,22:0,23:0,22:0,20:0,24:0,26:0,23:0,13:0,15:0,13:0,16:0,15:0,21:0,21:0,20:0,17:0,19:0,16:0,17:0,17:0,16:0,20:0,20:0,16:0,14:0,16:0,16:0,15:0,18:0,20:0,20:0,16:0,17:0,17:0,17:0,18:0,18:0,19:0,23:0,15:0,15:0,18:0,17:0,16:0,19:0,20:0,21:0,21:0,19:0,19:0,18:0,20:0,19:0,24:0,22:0,20:0,20:0,21:0,21:0,20:0,22:0,25:0,25:0,24:0,22:0,23:0,22:0,20:0,24:0,26:0,23:0,
2025-01-08T16:48:27.757004,13:0,14:0,12:0,16:0,16:0,19:0,21:0,18:0,16:0,18:0,16:0,17:0,17:0,16:0,19:0,20:0,17:0,13:0,16:0,16:0,15:0,17:0,19:0,20:0,14:0,16:0,17:0,16:0,18:0,18:0,19:0,21:0,14:0,15:0,18:0,16:0,16:0,19:0,19:0,21:0,21:0,18:0,18:0,18:0,19:0,18:0,23:0,21:0,20:0,20:0,20:0,20:0,20:0,21:0,25:0,23:0,23:0,23:0,24:0,22:0,19:0,22:0,26:0,22:0,13:0,14:0,12:0,16:0,16:0,19:0,21:0,18:0,16:0,18:0,16:0,17:0,17:0,16:0,19:0,20:0,17:0,13:0,16:0,16:0,15:0,17:0,19:0,20:0,14:0,16:0,17:0,16:0,18:0,18:0,19:0,21:0,14:0,15:0,18:0,16:0,16:0,19:0,19:0,21:0,21:0,18:0,18:0,18:0,19:0,18:0,23:0,21:0,20:0,20:0,20:0,20:0,20:0,21:0,25:0,23:0,23:0,23:0,24:0,22:0,19:0,22:0,26:0,22:0,
2025-01-08T16:48:27.854826,14:0,15:0,13:0,16:0,16:0,20:0,21:0,19:0,17:0,19:0,16:0,17:0,17:0,18:0,20:0,20:0,17:0,14:0,16:0,16:0,15:0,18:0,21:0,19:0,16:0,17:0,17:0,17:0,18:0,18:0,19:0,22:0,15:0,15:0,18:0,17:0,17:0,20:0,21:0,21:0,21:0,19:0,18:0,17:0,20:0,19:0,24:0,22:0,21:0,21:0,21:0,20:0,20:0,20:0,26:0,26:0,23:0,23:0,24:0,22:0,21:0,24:0,27:0,25:0,14:0,15:0,13:0,16:0,16:0,20:0,21:0,19:0,17:0,19:0,16:0,17:0,17:0,18:0,20:0,20:0,17:0,14:0,16:0,16:0,15:0,18:0,21:0,19:0,16:0,17:0,17:0,17:0,18:0,18:0,19:0,22:0,15:0,15:0,18:0,17:0,17:0,20:0,21:0,21:0,21:0,19:0,18:0,17:0,20:0,19:0,24:0,22:0,21:0,21:0,21:0,20:0,20:0,20:0,26:0,26:0,23:0,23:0,24:0,22:0,21:0,24:0,27:0,25:0,
2025-01-08T16:48:27.954881,13:0,15:0,12:0,17:0,16:0,20:0,21:0,20:0,16:0,18:0,16:0,18:0,16:0,17:0,20:0,20:0,17:0,13:0,16:0,16:0,14:0,17:0,21:0,19:0,15:0,16:0,16:0,16:0,18:0,19:0,18:0,23:0,15:0,14:0,18:0,16:0,16:0,19:0,20:0,21:0,21:0,18:0,18:0,18:0,20:0,20:0,23:0,22:0,20:0,20:0,20:0,20:0,20:0,21:0,25:0,24:0,23:0,22:0,24:0,22:0,20:0,23:0,26:0,22:0,13:0,15:0,12:0,17:0,16:0,20:0,21:0,20:0,16:0,18:0,16:0,18:0,16:0,17:0,20:0,20:0,17:0,13:0,16:0,16:0,14:0,17:0,21:0,19:0,15:0,16:0,16:0,16:0,18:0,19:0,18:0,23:0,15:0,14:0,18:0,16:0,16:0,19:0,20:0,21:0,21:0,18:0,18:0,18:0,20:0,20:0,23:0,22:0,20:0,20:0,20:0,20:0,20:0,21:0,25:0,24:0,23:0,22:0,24:0,22:0,20:0,23:0,26:0,22:0,
2025-01-08T16:48:28.066131,14:0,15:0,13:0,16:0,17:0,21:0,21:0,19:0,17:0,18:0,17:0,18:0,18:0,17:0,20:0,20:0,18:0,14:0,17:0,16:0,16:0,18:0,20:0,22:0,16:0,17:0,17:0,18:0,18:0,19:0,20:0,22:0,15:0,16:0,18:0,17:0,16:0,18:0,21:0,22:0,21:0,19:0,19:0,18:0,21:0,20:0,24:0,21:0,21:0,21:0,20:0,21:0,20:0,21:0,27:0,26:0,24:0,22:0,25:0,22:0,20:0,23:0,27:0,23:0,14:0,15:0,13:0,16:0,17:0,21:0,21:0,19:0,17:0,18:0,17:0,18:0,18:0,17:0,20:0,20:0,18:0,14:0,17:0,16:0,16:0,18:0,20:0,22:0,16:0,17:0,17:0,18:0,18:0,19:0,20:0,22:0,15:0,16:0,18:0,17:0,16:0,18:0,21:0,22:0,21:0,19:0,19:0,18:0,21:0,20:0,24:0,21:0,21:0,21:0,20:0,21:0,20:0,21:0,27:0,26:0,24:0,22:0,25:0,22:0,20:0,23:0,27:0,23:0,
2025-01-08T16:48:28.167138,13:0,15:0,12:0,16:0,15:0,20:0,21:0,19:0,17:0,18:0,16:0,17:0,17:0,16:0,20:0,20:0,16:0,13:0,16:0,17:0,15:0,17:0,20:0,19:0,15:0,16:0,16:0,17:0,18:0,18:0,19:0,22:0,15:0,15:0,17:0,17:0,16:0,19:0,19:0,21:0,21:0,18:0,18:0,18:0,20:0,18:0,24:0,21:0,21:0,21:0,20:0,21:0,20:0,20:0,26:0,25:0,23:0,24:0,24:0,22:0,19:0,24:0,26:0,21:0,13:0,15:0,12:0,16:0,15:0,20:0,21:0,19:0,17:0,18:0,16:0,17:0,17:0,16:0,20:0,20:0,16:0,13:0,16:0,17:0,15:0,17:0,20:0,19:0,15:0,16:0,16:0,17:0,18:0,18:0,19:0,22:0,15:0,15:0,17:0,17:0,16:0,19:0,19:0,21:0,21:0,18:0,18:0,18:0,20:0,18:0,24:0,21:0,21:0,21:0,20:0,21:0,20:0,20:0,26:0,25:0,23:0,24:0,24:0,22:0,19:0,24:0,26:0,21:0,
