Timestamp,Data
2025-01-09T10:44:05.182984,1676:6,1687:6,1671:6,1065:6,1672:6,1686:6,1699:6,1664:6,1681:6,1684:6,1692:6,1663:6,1697:6,1689:6,1690:6,1704:6,2424:3,-8188:0,2116:0,4094:0,0:0,0:0,4722:0,-1591:0,1903:0,4095:0,5:0,0:0,1571:0,4095:0,3:0,0:0,2431:188,-8188:29,2124:252,4094:63,1578:0,4095:0,2817:0,0:0,1903:0,4095:0,5:0,0:0,0:0,X:X,1898:0,X:X,3004:84,-8188:16,2132:20,4094:2,63:0,0:3,3:0,0:0,1903:20,4095:2,5:0,0:0,63:13,0:0,1578:0,4095:0,
2025-01-09T10:44:06.136346,1675:5,1681:5,1673:5,1076:5,1672:5,1691:5,1695:5,1652:5,1679:5,1686:5,1690:5,1674:5,1703:5,1694:5,1683:5,1704:5,606:3,-2047:0,529:0,1023:0,0:0,0:0,1180:0,-397:0,475:0,1023:0,1:0,0:0,392:0,1023:0,0:0,0:0,607:188,-2047:29,531:252,1023:63,394:0,1023:0,704:0,0:0,475:0,1023:0,1:0,0:0,0:0,X:X,474:0,X:X,751:84,-2047:16,533:20,1023:2,15:0,0:3,0:0,0:0,475:20,1023:2,1:0,0:0,15:13,0:0,394:0,1023:0,
2025-01-09T10:44:07.115459,1674:5,1687:5,1672:5,1088:5,1668:5,1683:5,1696:5,1656:5,1675:5,1684:5,1690:5,1672:5,1692:5,1690:5,1692:5,1697:5,151:3,-511:0,132:0,255:0,0:0,0:0,295:0,-99:0,118:0,255:0,0:0,0:0,98:0,255:0,0:0,0:0,151:188,-511:29,132:252,255:63,98:0,255:0,176:0,0:0,118:0,255:0,0:0,0:0,0:0,X:X,118:0,X:X,187:84,-511:16,133:20,255:2,3:0,0:3,0:0,0:0,118:20,255:2,0:0,0:0,3:13,0:0,98:0,255:0,
2025-01-09T10:44:08.116324,1673:5,1685:5,1683:5,1054:5,1671:5,1690:5,1699:5,1656:5,1678:5,1689:5,1688:5,1664:9,1698:5,1694:5,1690:5,1698:5,37:3,-127:0,33:0,63:0,0:0,0:0,73:0,-24:0,29:0,63:0,0:0,0:0,24:0,63:0,0:0,0:0,37:188,-127:29,33:252,63:63,24:0,63:0,44:0,0:0,29:0,63:0,0:0,0:0,0:0,X:X,29:0,X:X,46:84,-127:16,33:20,63:2,0:0,0:3,0:0,0:0,29:20,63:2,0:0,0:0,0:13,0:0,24:0,63:0,
2025-01-09T10:44:09.095759,1672:5,1680:5,1673:5,1100:5,1666:5,1687:5,1693:5,1656:5,1681:5,1686:5,1691:5,1678:9,1696:5,1693:5,1691:5,1693:5,9:3,-31:0,8:0,15:0,0:0,0:0,18:0,-6:0,7:0,15:0,0:0,0:0,6:0,15:0,0:0,0:0,9:188,-31:29,8:252,15:63,6:0,15:0,11:0,0:0,7:0,15:0,0:0,0:0,0:0,X:X,7:0,X:X,11:84,-31:16,8:20,15:2,0:0,0:3,0:0,0:0,7:20,15:2,0:0,0:0,0:13,0:0,6:0,15:0,
2025-01-09T10:44:10.087522,1673:5,1685:5,1675:5,1070:5,1671:5,1682:5,1702:5,1642:5,1682:5,1680:5,1692:5,1670:5,1701:5,1691:5,1690:5,1695:5,2:3,-7:0,2:0,3:0,0:0,0:0,4:0,-1:0,1:0,3:0,0:0,0:0,1:0,3:0,0:0,0:0,2:188,-7:29,2:252,3:63,1:0,3:0,2:0,0:0,1:0,3:0,0:0,0:0,0:0,X:X,1:0,X:X,2:84,-7:16,2:20,3:2,0:0,0:3,0:0,0:0,1:20,3:2,0:0,0:0,0:13,0:0,1:0,3:0,
2025-01-09T10:44:11.085798,1672:5,1685:5,1666:5,1137:5,1673:5,1685:5,1699:5,1665:5,1683:5,1683:5,1693:5,1674:9,1700:5,1698:5,1690:5,1700:5,0:3,-1:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:188,-1:29,0:252,0:63,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,X:X,0:0,X:X,0:84,-1:16,0:20,0:2,0:0,0:3,0:0,0:0,0:20,0:2,0:0,0:0,0:13,0:0,0:0,0:0,
2025-01-09T10:44:12.067879,1669:5,1679:5,1673:9,1154:5,1668:5,1684:5,1698:5,1659:5,1676:5,1681:5,1693:5,1674:9,1691:5,1697:5,1687:5,1695:5,0:3,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:188,0:29,0:252,0:63,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,X:X,0:0,X:X,0:84,0:16,0:20,0:2,0:0,0:3,0:0,0:0,0:20,0:2,0:0,0:0,0:13,0:0,0:0,0:0,
2025-01-09T10:44:13.060890,1671:5,1686:5,1676:5,1107:4,1672:5,1685:5,1695:5,1645:5,1679:5,1684:5,1690:5,1676:5,1694:5,1691:5,1686:5,1700:5,0:3,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:188,0:29,0:252,0:63,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,X:X,0:0,X:X,0:84,0:16,0:20,0:2,0:0,0:3,0:0,0:0,0:20,0:2,0:0,0:0,0:13,0:0,0:0,0:0,
2025-01-09T10:44:14.047586,1675:5,1683:5,1676:9,1093:5,1667:5,1683:5,1699:5,1664:5,1678:5,1684:5,1691:5,1671:9,1701:5,1690:5,1694:5,1690:5,0:3,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:188,0:29,0:252,0:63,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,X:X,0:0,X:X,0:84,0:16,0:20,0:2,0:0,0:3,0:0,0:0,0:20,0:2,0:0,0:0,0:13,0:0,0:0,0:0,
2025-01-09T10:44:15.046273,1665:5,1680:5,1675:5,1077:5,1673:5,1687:5,1695:5,1655:5,1675:5,1683:5,1689:5,1669:5,1694:5,1691:5,1694:5,1701:5,0:3,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:188,0:29,0:252,0:63,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,X:X,0:0,X:X,0:84,0:16,0:20,0:2,0:0,0:3,0:0,0:0,0:20,0:2,0:0,0:0,0:13,0:0,0:0,0:0,
