# IKS01A3 

time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
71267,178,-48,1016,-293,-183,4
87222,178,-48,1016,-293,-183,4
105311,178,-48,1016,-293,-183,4
151258,177,-48,1016,-205,-476,-48
187628,177,-48,1016,-205,-476,-48
208271,177,-48,1016,-205,-476,-48
233801,181,-49,1016,-100,-678,-21
288035,181,-49,1016,-100,-678,-21
308677,181,-49,1016,-100,-678,-21
313791,185,-51,1016,-91,-616,-214
385890,185,-51,1016,-91,-616,-214
396326,187,-38,1013,-91,-166,-415
409729,187,-38,1013,-91,-166,-415
476094,196,-42,1017,-551,39,-170
486944,196,-42,1017,-551,39,-170
512689,196,-42,1017,-551,39,-170
556082,171,-58,1019,-1155,2358,848
585567,171,-58,1019,-1155,2358,848
588344,171,-58,1019,-1155,2358,848
614442,171,-58,1019,-1155,2358,848
637420,155,-59,1015,-879,2038,1491
686551,155,-59,1015,-879,2038,1491
717403,155,-59,1015,-879,2038,1491
719962,164,-50,1017,-310,-249,83
784408,164,-50,1017,-310,-249,83
799948,184,-54,1017,-166,-1093,-1588
818456,184,-54,1017,-166,-1093,-1588
864401,184,-54,1017,-166,-1093,-1588
882419,176,-49,978,74,-608,-840
885614,176,-49,978,74,-608,-840
921570,176,-49,978,74,-608,-840
962414,193,-44,1036,4970,-9135,87
983474,193,-44,1036,4970,-9135,87
1024535,193,-44,1036,4970,-9135,87
1042407,226,-104,1044,-713,-3504,599
1083885,226,-104,1044,-713,-3504,599
1124945,213,-8,1234,-9331,16804,11523
1184287,213,-8,1234,-9331,16804,11523
1204929,181,-127,1676,4593,89359,27978
1228540,181,-127,1676,4593,89359,27978
1282140,181,-127,1676,4593,89359,27978
1287469,-136,132,1391,-5075,105910,33092
1331497,-136,132,1391,-5075,105910,33092
1367232,-67,-114,1173,-39563,16563,-5989
1383188,-67,-114,1173,-39563,16563,-5989
1434455,-67,-114,1173,-39563,16563,-5989
1449775,-54,-182,611,-58450,-13037,7030
1481040,-54,-182,611,-58450,-13037,7030
1529755,-254,17,-97,-37485,-34938,24088
1535501,-254,17,-97,-37485,-34938,24088
1558478,-254,17,-97,-37485,-34938,24088
1582223,-254,17,-97,-37485,-34938,24088
1590105,-254,17,-97,-37485,-34938,24088
1611098,-132,-56,-546,30366,-47849,-4515
1637262,-132,-56,-546,30366,-47849,-4515
1680656,-132,-56,-546,30366,-47849,-4515
1691091,347,35,771,115001,-49765,-10360
1737671,347,35,771,115001,-49765,-10360
1773409,48,383,1998,104409,-1071,11138
1781708,48,383,1998,104409,-1071,11138
1840631,48,383,1998,104409,-1071,11138
1853402,-22,405,1932,-19136,41663,997
1869358,-22,405,1932,-19136,41663,997
1879720,-22,405,1932,-19136,41663,997
