# IKS01A3 
 
time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
139843000,711,-510,-193,-10595,16061,-57145
139862000,829,-443,-171,-7175,17129,-61725
139881000,905,-325,-237,-427,13862,-79007
139900000,823,-238,-274,12946,11709,-63389
139919000,809,-270,-195,20106,12335,-29389
139938000,801,-327,-107,28198,12687,18870
139957000,854,-409,-71,31083,10427,58106
139976000,917,-500,-58,32305,5312,76809
139995000,917,-558,-102,31526,1389,74152
140014000,893,-611,-113,30610,-1587,61190
140033000,746,-573,-194,32870,-809,50549
140052004,611,-475,-209,35954,488,53572
140071000,527,-285,-214,45969,2732,73312
140090000,486,-29,-273,72793,13832,80412
140109000,565,-152,-24,111557,23770,116458
140128000,447,-190,125,142824,35053,199755
140147000,488,-392,299,169496,47908,302503
140166000,-393,-950,328,172427,61053,382793
140185000,-45,-1502,666,102610,64000,321694
140204000,1168,-3293,1337,34122,29358,71725
140223000,1132,-2948,643,-64763,8213,-173541
140242000,604,-1229,507,-104473,26809,-172610
140261000,633,-1050,433,-137801,46427,-62503
140280000,862,-706,261,-145328,26946,-34732
140299000,935,50,-111,-95679,16213,-66045
140318000,756,179,-659,-14656,-4503,-47099
140337000,662,-181,-247,25282,-21419,104732
140356000,433,-805,317,25709,-29587,287068
140375000,-105,-1426,599,-5358,-8702,321832
140394000,372,-2301,741,-68106,8213,175709
140413000,799,-2631,602,-128412,2335,-75587
140432000,193,-1592,458,-160503,14732,-171832
140451000,47,-1065,244,-182992,25343,-106366
140470000,286,-1060,79,-190503,29511,-51664
140489000,451,-847,-39,-180091,22091,-44656
140508000,590,-604,-103,-161389,5541,-61328
140527000,614,-444,-210,-142824,-9587,-79022
140546000,477,-371,-288,-121236,-20198,-71557
140565000,369,-345,-288,-103572,-18946,-43541
140584000,391,-382,-308,-87755,-16488,-12091
140603000,471,-421,-288,-74259,-14916,1251
140622000,528,-490,-279,-61572,-16305,-9419
140641000,522,-556,-302,-49068,-16106,-38671
140660000,542,-600,-319,-35877,-18152,-94946
140679000,514,-574,-325,-18320,-12809,-159557
140698000,475,-398,-386,2564,-11053,-224641
140717000,291,160,-473,38702,3541,-271542
140736000,105,914,-862,87969,30977,-250244
140755000,-29,1444,-1075,149068,57648,-128916
140774000,31,684,-496,198091,80793,37175
140793000,224,224,-194,262427,100778,142809
140812000,304,-526,118,296396,127984,187328
140831000,943,-1493,859,278396,119343,138732
140850000,838,-2170,1348,243862,127389,62488
140869000,1259,-3511,1986,63954,44916,-95557
140888000,1301,-3129,1564,-88778,6473,-120748
140907000,1174,-1505,180,-143236,-1099,-97862
140926000,948,-147,-65,-139572,-27358,-60427
140945000,761,1312,-1053,-56305,-2229,3053
140964000,802,1540,-1546,49160,-37816,127145
140983000,774,-350,-624,121419,-24687,250687
141002000,589,-980,-168,151557,-41160,318687
141021000,-187,-1619,684,91221,-42656,356625
141040000,309,-3090,1667,-13251,-41022,242061
141059000,557,-3211,668,-152396,-19847,66366
141078000,609,-1847,71,-179541,15740,-98580
141097000,400,-819,-81,-188305,27129,-119816
141116000,419,-631,-232,-177908,22717,-66229
141135000,431,-859,-404,-164717,23282,-55877
141154000,633,-827,-344,-134946,16030,-92778
141173000,774,-607,-177,-109053,2595,-109801
141192000,696,-498,-221,-90793,-7022,-75404
141211000,680,-680,-170,-92717,-10076,-13145
141230000,682,-746,-214,-92488,-9022,18045
141249000,652,-765,-263,-92381,-9389,8748
141268000,586,-821,-278,-88885,-8229,-31893
141287000,559,-788,-255,-81755,-3053,-80122
141306000,429,-669,-235,-73480,1297,-98152
141325000,395,-565,-227,-68748,9145,-91312
141344000,484,-562,-263,-60595,8320,-96488
