@relation 'MLC'

@attribute F1_PEAK_DETECTOR_ACC_V numeric
@attribute F2_ABS_PEAK_DETECTOR_GYR_V numeric
@attribute F3_MEAN_ACC_V numeric
@attribute F4_MEAN_GYR_V numeric
@attribute class {d_shake, chest_tap, other, stationnary}

@data
0, 14, 1.0957, 2.8125, d_shake
1, 22, 1.6748, 3.69922, d_shake
2, 18, 1.30957, 2.58984, d_shake
1, 20, 1.21875, 2.60547, d_shake
0, 18, 1.2793, 2.17969, d_shake
0, 24, 1.22852, 3.55273, d_shake
0, 18, 1.18555, 2.61328, d_shake
0, 16, 1.2832, 2.77344, d_shake
0, 15, 1.35059, 2.90234, d_shake
0, 19, 1.2207, 2.35352, d_shake
0, 15, 1.1582, 2.31445, d_shake
0, 15, 1.06738, 2.27734, d_shake
0, 20, 1.13379, 2.08594, d_shake
0, 20, 1.0459, 2.33203, d_shake
0, 17, 1.31934, 2.91797, d_shake
0, 18, 1.24512, 2.19336, d_shake
0, 22, 1.22559, 1.80469, d_shake
0, 19, 1.18848, 1.7168, d_shake
0, 16, 1.16016, 2.42578, d_shake
0, 22, 1.0918, 1.95605, d_shake
0, 25, 1.11426, 1.81543, d_shake
1, 22, 1.12305, 1.48438, d_shake
1, 21, 1.12012, 1.80371, d_shake
0, 20, 1.12598, 1.86328, d_shake
0, 20, 1.21777, 2.24609, d_shake
0, 20, 1.14453, 1.8252, d_shake
0, 17, 1.11816, 1.75, d_shake
0, 15, 1.15918, 2.3457, d_shake
0, 21, 1.2207, 1.98438, d_shake
0, 17, 1.2168, 1.61719, d_shake
0, 14, 1.25684, 2.85352, d_shake
1, 14, 1.28125, 2.42188, d_shake
0, 21, 1.25488, 2.61523, d_shake
0, 17, 1.22461, 2.72461, d_shake
0, 16, 1.1748, 2.89844, d_shake
1, 18, 1.33984, 3.15625, d_shake
0, 20, 1.31445, 2.57227, d_shake
0, 17, 1.10156, 2.09961, d_shake
1, 16, 1.10059, 1.9502, d_shake
0, 17, 1.0957, 2.08398, d_shake
1, 22, 1.21582, 2.11328, d_shake
0, 18, 1.11328, 2.04688, d_shake
0, 14, 1.14355, 2.60352, d_shake
0, 18, 1.15137, 1.73535, d_shake
0, 18, 1.13281, 2.1582, d_shake
0, 21, 1.11816, 1.25977, d_shake
1, 20, 1.17383, 2.00195, d_shake
0, 14, 1.2207, 1.77734, d_shake
0, 17, 1.1416, 1.77344, d_shake
0, 20, 1.23633, 1.99023, d_shake
0, 22, 1.19238, 1.82813, d_shake
0, 16, 1.1582, 1.36719, d_shake
2, 19, 1.22363, 1.55469, d_shake
1, 19, 1.20508, 1.75391, d_shake
0, 16, 1.10449, 0.869141, d_shake
0, 19, 1.08496, 1.93262, d_shake
0, 20, 1.125, 1.52051, d_shake
0, 19, 1.2002, 1.92578, d_shake
0, 17, 1.01465, 1.80566, d_shake
1, 20, 1.14648, 1.80957, d_shake
1, 12, 1.19336, 1.51758, chest_tap
1, 16, 1.20801, 1.42773, chest_tap
1, 10, 1.13574, 1.48145, chest_tap
1, 10, 1.1377, 1.50684, chest_tap
0, 13, 1.15039, 1.36426, chest_tap
1, 16, 1.1748, 1.28613, chest_tap
1, 9, 1.1748, 1.73242, chest_tap
0, 12, 1.19824, 2.31641, chest_tap
1, 8, 1.2373, 2.0625, chest_tap
0, 5, 1.16699, 1.52832, chest_tap
1, 9, 1.11426, 1.31738, chest_tap
0, 12, 1.11523, 1.65625, chest_tap
0, 16, 1.11719, 1.27344, chest_tap
0, 14, 1.08887, 0.98877, chest_tap
0, 11, 1.09375, 1.5498, chest_tap
0, 11, 1.18945, 1.54492, chest_tap
0, 10, 1.10645, 1.48633, chest_tap
0, 12, 1.14844, 1.28223, chest_tap
0, 13, 1.08691, 1.33594, chest_tap
0, 9, 1.13281, 1.12109, chest_tap
0, 18, 1.13281, 1.58008, chest_tap
1, 18, 1.16113, 1.21582, chest_tap
0, 10, 1.125, 1.4043, chest_tap
0, 12, 1.13379, 1.65234, chest_tap
0, 9, 1.1416, 1.84766, chest_tap
0, 11, 1.14063, 1.53418, chest_tap
0, 10, 1.15332, 1.65918, chest_tap
0, 17, 1.13281, 2.0293, chest_tap
0, 13, 1.18652, 1.85547, chest_tap
0, 12, 1.20313, 1.68262, chest_tap
0, 10, 1.00977, 0.63916, other
0, 17, 1.00586, 0.674805, other
0, 18, 0.990234, 0.296631, other
0, 28, 0.990723, 0.257324, other
0, 21, 0.980957, 0.155029, other
0, 22, 1.01563, 0.609863, other
0, 18, 1.01172, 0.656738, other
0, 15, 0.978516, 1.3291, other
0, 18, 0.996582, 0.380371, other
0, 15, 0.995117, 0.325928, other
0, 15, 0.970703, 0.931641, other
0, 24, 1.01758, 0.270264, other
0, 10, 0.981934, 1.57129, other
0, 12, 1.04297, 0.862305, other
0, 7, 0.991211, 1.62695, other
0, 21, 1.01465, 0.43457, other
0, 25, 0.989746, 0.325928, other
0, 21, 1.02051, 0.534668, other
0, 25, 0.997559, 0.248779, other
0, 22, 0.984863, 0.462646, other
0, 15, 1.00488, 0.335938, other
0, 22, 1.00098, 1.2832, other
0, 20, 1.02246, 0.888672, other
0, 20, 1.04004, 1.28125, other
0, 11, 0.977539, 1.25195, other
0, 8, 1.00098, 0.86084, other
0, 15, 0.990723, 0.575684, other
0, 17, 1.00977, 0.835938, other
0, 25, 0.986328, 1.24121, other
0, 23, 1.0166, 0.710938, other
0, 31, 1.05371, 0.0453491, stationnary
0, 36, 1.05371, 0.0451965, stationnary
0, 33, 1.05371, 0.0449829, stationnary
0, 32, 1.05566, 0.0454407, stationnary
0, 35, 1.05469, 0.0452576, stationnary
0, 38, 1.05469, 0.0451965, stationnary
0, 33, 1.05469, 0.0452881, stationnary
0, 27, 1.05371, 0.0451355, stationnary
0, 30, 1.05176, 0.0446167, stationnary
