# IKS01A3 
 
time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
313316000,-62,839,-673,4519,641,-4198
313335000,-101,825,-682,4274,4534,1022
313354000,-77,757,-665,3450,5938,-2427
313373000,-63,752,-647,4778,4778,-12290
313392000,-87,764,-660,4656,4519,-18625
313411000,-174,770,-686,4610,8320,-20229
313430000,-267,717,-716,4000,14992,-25114
313449000,-375,655,-736,2076,22106,-41923
313468000,-392,700,-712,2748,33664,-65618
313487000,-521,751,-763,2870,49007,-80763
313506000,-603,760,-762,3404,66564,-93770
313525000,-613,770,-732,4564,88137,-121160
313544000,-652,748,-722,9725,105175,-158396
313563000,-694,869,-740,9145,125465,-182305
313582000,-565,871,-750,5541,146992,-180519
313601000,327,616,-209,3786,150137,-200366
313620000,3999,1701,2124,62671,-80259,-252961
313639000,-145,2480,-1878,72656,-81709,-186580
313658000,-622,1800,-1069,-13984,-21297,122213
313677000,117,972,25,-20534,82229,264931
313696000,16,347,-1123,-7893,47755,210732
313715000,54,173,-592,22671,-58091,66793
313734000,-112,894,-378,31618,-93526,48427
313753000,-194,882,-766,17908,-48977,103587
313772000,-82,652,-724,14778,-59206,112305
313791000,-69,683,-633,11206,-80916,92595
313810000,-140,718,-679,7603,-78931,85923
313829000,-177,748,-726,1358,-68534,90167
313848000,-197,754,-767,-3160,-58641,98229
313867000,-134,699,-737,-8977,-51358,99419
313886000,-120,719,-715,-7740,-49587,84045
313905000,-150,730,-737,-8122,-46839,70839
313924000,-178,739,-791,-6106,-42656,59801
313943000,-208,756,-841,-3114,-37099,54381
313962000,-235,768,-853,-1496,-27297,56320
313981000,-156,748,-807,-122,-21053,55435
314000000,-94,719,-736,2610,-21694,48503
314019000,-135,776,-746,6381,-19160,45282
314038000,-168,723,-763,8106,-16152,44213
314057000,-115,630,-737,9099,-16534,33435
314076000,-125,651,-761,9496,-19343,20656
314095000,-91,680,-748,10503,-20610,11862
314114000,-117,748,-772,11725,-20122,11557
314133000,-170,724,-783,13236,-15251,14000
314152000,-152,659,-771,14076,-13068,3129
314171000,-147,645,-787,14198,-12137,-12442
314190000,-131,700,-780,14351,-10015,-20549
314209000,-133,747,-802,13419,-1877,-12793
314228000,-104,695,-765,12167,3847,-6961
314247000,-82,632,-763,10839,5587,-11679
