# IKS01A3 
 
time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
452898000,346,720,-269,53679,-6198,63129
452917000,319,587,-305,46045,-9603,86503
452936000,345,458,-316,34442,-10717,106305
452955000,363,333,-372,18229,-15557,114152
452974000,320,229,-357,-2870,-15847,117648
452993000,299,108,-415,-25587,-7709,128427
453012000,309,24,-471,-54320,1648,125450
453031000,252,-97,-532,-83969,12290,126488
453050000,308,-281,-648,-123572,36213,113358
453069000,333,-369,-592,-164870,65786,50137
453088000,553,-149,-346,-177771,97374,-141923
453107000,1026,267,99,-169251,88671,-434198
453126001,959,803,387,-154076,21297,-500274
453145000,-1173,2255,417,-138595,31267,-482473
453164000,-1169,3328,1085,-114656,19328,-47374
453183001,-63,2699,1843,-35664,32793,289236
453202000,640,1870,991,46656,-2213,310870
453221000,326,619,-47,35114,-10641,267419
453240000,228,-68,-1018,23251,34167,207450
453259000,827,-655,-1218,-39343,36000,98183
453278000,1324,-338,-395,-90961,31832,-59190
453297000,1389,163,0,-94564,564,-288015
453316000,1427,611,468,-87236,-59755,-500274
453335000,-950,952,473,-63328,-70259,-500274
453354000,-1453,1904,790,-59007,-21984,-277709
453373000,-868,3011,1861,31450,-30290,115206
453392000,-342,2819,1436,69954,-6381,323771
453411000,-13,1215,591,105267,11419,260717
453430000,83,956,229,134045,32519,136519
453449000,219,692,-182,127618,52198,29083
453468000,473,462,-141,98580,34473,31496
453487000,438,584,-244,74992,27526,58961
453506000,422,746,-307,62396,16213,85251
453525000,460,767,-222,52045,19267,88351
453544000,514,722,-248,46656,21938,53511
453563000,536,775,-156,44564,18809,13435
453582000,466,820,-196,39343,17511,-10992
453601000,438,916,-168,31572,14274,-8213
453620000,477,1057,-93,31129,10778,1435
453639000,405,1073,-95,31541,9526,14274
453658001,452,1123,-40,36183,9877,19312
453677000,434,1032,-56,38931,12656,17862
453696000,403,1028,-67,39129,12427,26259
453715000,485,1014,-47,41770,9465,37877
453734000,461,921,-83,43511,6412,38152
453753000,424,962,-106,44671,3877,31679
453772000,514,905,-119,47709,2625,27328
453791000,527,846,-140,48519,-3618,14045
453810000,463,907,-187,49404,-6992,11618
453829000,496,903,-206,50610,-9068,16610
453848000,496,800,-239,49236,-12000,19328
453867000,470,795,-314,49022,-13328,29954
453886000,492,737,-345,44610,-12992,36687
453905000,499,716,-372,41603,-15709,44656
453924000,519,713,-430,39312,-17099,56061
453943000,550,667,-528,34167,-18534,70320
453962001,547,543,-567,25236,-21541,85007
453981000,518,374,-633,16351,-24290,104167
454000000,484,50,-826,-14763,-22030,132961
454019001,568,-190,-899,-57419,-19450,136824
454038000,573,-361,-814,-101099,-20763,126320
454057000,472,-488,-851,-155984,4671,65297
454076000,682,-231,-390,-176091,27847,-149160
454095000,1024,326,115,-148717,18320,-500274
454114000,78,826,391,-97816,-62946,-500274
454133000,-842,3264,621,-63954,-87007,-474000
454152000,-1335,3187,1296,-28458,-62396,-29786
454171000,-582,2073,1784,3236,-42351,383190
454190000,346,1198,504,59511,-69282,330396
454209000,221,-81,-740,2137,16977,325190
454228000,431,-582,-2041,-27297,24473,111908
454247000,948,121,-647,-43572,55984,-164458
454266000,1819,226,-291,-78580,6000,-335816
454285000,198,1186,133,-84458,-45694,-353908
454304000,-1421,1679,470,-40931,-40015,-126229
454323000,-550,2318,1575,10091,-28351,64122
454342000,-118,2721,1327,81832,-15938,177404
454361000,-43,1050,283,93633,-4580,149160
454380000,6,345,-293,100854,7572,59114
454399000,118,294,-493,78488,38564,-18610
454418000,207,495,-357,55297,43740,-28595
454437000,152,661,-185,40778,49725,-11236
454456000,112,880,-148,35068,56167,9251
454475000,212,1032,-1,33374,55694,19755
454494000,212,1008,-36,33007,58793,22015
454513000,339,1002,-56,32290,51419,18061
454532000,348,1028,-131,37221,44885,10351
454551000,353,1060,-215,38305,37145,11221
454570000,433,1025,-240,40610,29435,15053
454589000,412,913,-334,41618,21740,13435
454608000,342,977,-408,42137,20519,7511
454627000,418,1053,-374,42885,19145,20900
454646000,495,966,-394,45908,12824,35053
454665000,488,857,-499,46824,8534,40687
454684000,510,876,-472,48335,3404,37435
454703000,500,827,-557,49954,4503,33893
454722000,521,813,-554,49786,2656,31099
454741000,505,792,-562,47969,3358,35404
454760000,497,790,-552,48458,183,36458
454779000,481,734,-565,45740,-885,39740
454798000,487,710,-577,44122,-1541,39099
454817000,504,722,-578,40396,-3282,38702
454836000,497,735,-595,38900,-2763,41938
454855000,480,638,-654,34595,-870,54809
454874000,519,588,-678,27404,-1114,57145
454893000,551,512,-730,20519,-1404,61938
454912000,614,421,-785,10641,-5267,78366
454931000,637,403,-862,-931,-7480,102931
454950000,595,308,-920,-17618,-11587,135801
454969000,591,14,-934,-47709,-15236,169801
454988000,603,-187,-937,-87358,-12534,186259
455007000,636,-315,-919,-127328,-9312,177221
455026000,613,-318,-874,-167603,-335,144244
455045000,669,-316,-607,-202625,22488,22076
455064000,900,-125,-262,-207954,26702,-230091
455083000,1243,395,303,-184564,-8335,-500274
455102000,-462,1468,565,-151221,-56503,-500274
455121000,-1370,2837,880,-124503,-117984,-295374
455140000,-1093,3064,1568,-58458,-73755,84030
455159000,145,2133,1691,-15068,-40824,396000
455178000,384,822,313,19679,-45404,285068
455197000,16,-147,-612,10748,6091,199893
455216000,366,-319,-1847,-32244,57908,-18671
455235000,922,310,-270,-64687,38732,-162229
455254000,1578,282,-47,-94335,-7847,-298091
455273000,33,660,171,-108244,-44106,-372839
455292000,-1289,1003,259,-95297,-9526,-160320
455311000,-260,2230,1216,-44290,-2396,9603
455330000,-25,2333,1204,22366,7328,182977
455349000,190,1129,344,52595,24000,137358
455368000,155,811,-12,77175,45038,47984
455387000,198,836,-98,78458,72076,-11435
455406000,286,557,-35,55007,68824,-13282
455425000,259,756,-6,45816,68412,-12274
455444000,206,1054,-69,41022,71572,16992
455463000,281,1120,19,41099,73251,46931
455482000,426,1019,80,46335,72183,44351
455501000,388,951,49,49816,68290,23206
455520001,347,955,-30,47022,66167,12244
455539000,380,929,-67,44045,66015,6900
455558000,480,909,-64,39374,59511,8809
455577000,482,880,-164,36183,52519,14320
455596000,349,833,-272,34137,51709,6610
455615000,324,847,-267,27251,60076,-7923
455634000,311,948,-217,23938,71053,-16427
455653000,451,918,-113,16641,76045,-9267
455672000,466,907,-73,14274,70702,6961
455691000,374,965,-138,12503,62839,27251
455710000,317,956,-232,10549,68045,41694
