# IKS01A3 
 
time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
194813000,342,713,560,-778,-6946,2320
194832000,318,720,552,-564,-6534,-1206
194851000,308,725,533,-809,-4473,-2290
194870000,317,698,558,-1984,-3465,-4977
194889000,363,654,569,-3511,-4320,-11816
194908000,334,652,557,-7007,-3801,-17328
194927003,359,654,612,-10946,-8916,-22839
194946000,415,632,764,-15129,-14198,-30916
194965000,406,647,794,-21099,-22519,-39618
194984000,367,665,753,-26793,-27709,-37816
195003000,391,632,771,-34320,-38564,-37114
195022000,417,610,845,-39511,-46106,-44442
195041000,360,632,786,-43419,-49419,-53679
195060000,333,673,741,-47145,-54519,-56534
195079000,324,730,748,-48732,-53679,-51541
195098000,293,777,692,-49709,-51541,-41145
195117001,300,779,686,-48854,-49282,-33832
195136000,305,782,623,-46488,-44900,-32335
195155000,306,789,603,-43786,-41404,-30503
195174000,296,798,567,-41526,-37328,-24290
195193000,307,809,553,-38717,-32916,-17877
195212000,307,786,541,-35450,-29358,-15923
195231000,311,794,517,-31068,-27129,-16366
195250000,306,776,495,-27770,-23893,-14274
195269000,298,765,463,-23465,-20809,-12519
195288000,283,748,456,-20351,-16473,-11267
195307000,292,730,456,-17007,-14000,-12458
195326000,288,724,458,-13083,-11679,-13526
195345000,281,725,484,-9038,-9465,-15007
195364000,294,707,486,-4916,-9633,-16183
195383000,274,733,502,-1694,-8916,-18366
195402000,306,762,499,3022,-8717,-18839
195421000,293,779,499,6641,-9297,-16259
195440000,287,787,503,9496,-10061,-11603
195459000,300,772,503,13740,-9221,-11938
195478000,312,748,514,17770,-10076,-17801
195497000,296,803,494,22198,-11374,-15847
195516000,318,782,496,23572,-8854,-11145
195535000,336,761,518,24931,-6900,-10778
195554000,350,776,507,26381,-6564,-10610
195573000,382,768,549,27526,-7007,-12000
195592005,376,757,543,27954,-4381,-11511
195611000,385,779,551,27022,-2534,-8366
195630000,386,775,539,25862,610,-4213
195649000,450,779,624,24778,-3648,5267
