# IKS01A3 
 
time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
47012000,1054,1,-5,-2198,-1984,-351
47031000,1050,3,-3,-1969,-1755,-213
47050000,1055,3,-14,-2015,-1297,-213
47069000,1049,0,-16,-1893,-1480,-198
47088000,1055,0,-12,-2030,-1587,-274
47107000,1049,4,-7,-2015,-1526,-198
47126000,1042,0,-4,-1786,-1358,-137
47145000,1054,0,-11,-2122,-1725,-213
47164000,1051,-1,0,-2137,-1679,-396
47183000,1049,-1,-22,-2045,-1572,-305
47202000,1049,-2,-9,-2076,-1358,-320
47221000,1052,0,1,-1877,-1664,-320
47240000,1045,-3,-4,-1984,-1679,-290
47259000,1046,-1,-14,-1938,-1511,-320
47278000,1052,1,-10,-2091,-1770,-305
47297000,1049,0,-11,-2015,-1633,-290
47316000,1046,-2,-7,-2076,-1664,-412
47335000,1053,-1,-2,-2061,-1526,-274
47354000,1052,1,-10,-2061,-1801,-91
47373000,1043,5,-3,-2045,-1633,-244
47392000,1055,6,-10,-1908,-1496,-183
47411000,1051,2,-14,-1801,-1465,-229
47430000,1053,1,-7,-1954,-1740,-412
47449001,1047,2,-7,-1816,-1786,-396
47468000,1053,0,-8,-2000,-1603,-229
47487000,1047,4,-5,-2045,-1587,-381
47506000,1050,0,0,-2106,-1954,-137
47525000,1051,0,-8,-1923,-1465,-442
47544000,1047,0,-7,-1984,-1465,-290
47563000,1055,-3,-7,-1984,-1862,-259
47582000,1047,5,-4,-1984,-1862,-366
47601000,1051,-2,-11,-2045,-1679,-381
47620000,1054,3,-10,-1893,-1541,-290
47639000,1049,0,-22,-1969,-1374,-366
47658000,1044,0,-4,-1938,-1648,-366
47677000,1056,-1,-7,-2091,-1694,-137
47696000,1053,-1,-14,-1969,-1664,-290
47715000,1051,-1,-7,-1893,-1282,-320
47734000,1056,2,-8,-2061,-1709,-427
47753000,1049,1,-10,-1938,-1557,-442
47772000,1050,2,-11,-2320,-1404,-335
47791000,1056,-3,-5,-2000,-1511,-122
47810000,1047,6,2,-2213,-1694,-366
47829000,1055,0,0,-2137,-1480,-244
47848000,1050,5,-8,-2198,-1557,-305
47867000,1043,0,-9,-2000,-1847,-366
47886000,1054,-2,-3,-2137,-1587,-351
47905000,1053,4,-6,-2045,-1251,-381
47924000,1047,-3,-11,-2061,-1938,-366
47943000,1049,1,-8,-2091,-1587,-152
47962000,1050,2,-10,-1938,-1404,-351
47981000,1050,3,-4,-1969,-1404,-259
48000000,1050,0,-6,-2183,-1648,-152
48019000,1047,5,-2,-2198,-1572,-381
48038000,1048,-1,-1,-1893,-1526,-137
48057000,1048,0,-16,-2152,-1541,-290
48076000,1051,4,-13,-2045,-1694,-305
48095000,1048,0,-13,-2183,-1465,-198
