# IKS01A3 
""
"time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]"
2025-01-07T17:46:35.992494,1030.0293,-29.2969,27.8320,-1.1221,2.6794,-0.2061
2025-01-07T17:46:36.082064,1017.5781,-36.3770,23.4375,-0.9542,2.6794,-0.2748
2025-01-07T17:46:36.217407,1028.5645,-33.9355,27.3438,-1.1450,2.6718,-0.3359
2025-01-07T17:46:36.307466,1033.6914,-32.7148,37.1094,-1.1756,2.3740,-0.3359
2025-01-07T17:46:36.397580,1030.7617,-31.2500,18.7988,-1.1908,2.3969,-0.4809
2025-01-07T17:46:36.532488,1028.8086,-31.7383,20.0195,-1.0229,2.5725,-0.2824
2025-01-07T17:46:36.622134,1035.1563,-31.7383,21.4844,-1.2290,2.4885,-0.3206
2025-01-07T17:46:36.712173,1037.1094,-33.9355,29.5410,-0.9924,2.2901,-0.3588
2025-01-07T17:46:36.801850,1025.8789,-30.2734,35.4004,-1.0611,2.5573,-0.2290
2025-01-07T17:46:36.936846,1029.5410,-32.4707,26.8555,-0.9847,2.4427,-0.3053
2025-01-07T17:46:37.072191,1028.5645,-37.5977,17.5781,-0.9771,2.6794,-0.1374
2025-01-07T17:46:37.117227,1031.9824,-36.8652,29.5410,-1.1679,2.3511,-0.2137
2025-01-07T17:46:37.251745,1029.2969,-31.7383,28.8086,-1.1069,2.5344,-0.2366
2025-01-07T17:46:37.342386,1030.0293,-33.4473,21.2402,-1.1145,2.5496,-0.1221
2025-01-07T17:46:37.432250,1030.5176,-33.4473,23.6816,-1.2443,2.3053,-0.1145
2025-01-07T17:46:37.522560,1032.2266,-33.2031,23.1934,-1.0763,2.5649,-0.2137
2025-01-07T17:46:37.656659,1030.0293,-30.7617,25.6348,-1.1908,2.4656,-0.1679
2025-01-07T17:46:37.747587,1029.5410,-28.3203,26.8555,-1.1679,2.3740,-0.1298
2025-01-07T17:46:37.836788,1038.8184,-27.8320,28.0762,-0.9389,2.2748,-0.1450
2025-01-07T17:46:37.972009,1027.8320,-26.6113,19.7754,-0.9847,2.6107,-0.0458
2025-01-07T17:46:38.061699,1030.0293,-33.9355,29.5410,-1.1908,2.4656,-0.1374
2025-01-07T17:46:38.152047,1027.5879,-31.9824,28.8086,-1.0992,2.3282,-0.2672
2025-01-07T17:46:38.286572,1031.9824,-32.7148,18.5547,-1.1069,2.5420,-0.2901
2025-01-07T17:46:38.376937,1031.7383,-34.6680,25.3906,-1.1985,2.7863,-0.1374
2025-01-07T17:46:38.466863,1018.7988,-28.3203,33.9355,-0.9237,2.4427,-0.5496
2025-01-07T17:46:38.556738,1018.0664,-30.5176,18.3105,-0.9237,2.4656,-0.1527
2025-01-07T17:46:38.692336,1030.7617,-33.6914,17.3340,-1.0687,2.4427,-0.0916
2025-01-07T17:46:38.781977,1021.4844,-30.2734,31.4941,-1.1603,2.7252,-0.1298
