Data,Label
"X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 808:5, 776:5, 777:5, X:X, X:X, X:X, X:X, X:X, 769:5, 730:5, 738:5, 742:5, X:X, X:X, X:X, 404:4, 521:5, 516:5, 546:5, 671:5, X:X,",
"X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 736:10, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 917:10, 929:10, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 789:10, 760:10, X:X, X:X, X:X, X:X, X:X, 357:10, 606:10, 508:5, 655:5, 683:5, X:X, X:X, X:X,",bras_droit
"X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 863:10, X:X, X:X, X:X, X:X, X:X, 735:4, 645:5, 667:5, 664:10, 892:10, X:X,",bras_gauche
"X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 807:10, 921:10, X:X, X:X, X:X, X:X, 658:5, 648:5, 620:5, 601:4, 672:10,",
"X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 817:10, 590:10, X:X, X:X, X:X, X:X, 933:10, 876:5, 890:5, 541:10, X:X, X:X, X:X, X:X, 692:5, 664:5, 695:5, X:X,",
"X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 771:10, 736:10, 766:10, 900:5, X:X, X:X, X:X, 690:10, 596:10, 630:4, 627:4, 645:4, 996:4, 525:10, 381:10, 424:10, 452:10, 496:5, 481:5, 416:4, 392:10,",bras_gauche
"X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 696:10, 620:10, 655:5, 660:5, 707:5, X:X, X:X, X:X, 392:5, 468:5, 518:5, 516:5, 524:5, 444:5, 516:5, X:X,",
"X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 991:4, 768:5, 653:5, 703:5, 687:5, 758:10, X:X, X:X, 416:5, 437:5, 484:5, 524:5, 522:5, 495:5, 431:5, X:X,",bras_droit
"X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 902:5, 1003:5, 726:9, 680:5, 651:5, X:X, X:X, X:X, X:X, 517:5, 487:5, 542:5, 550:5, 575:5, 508:5, X:X,",bras_droit
"X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 537:4, 651:4, 662:5, 671:5, 686:5, 715:10, X:X, 574:10, 413:10, 429:5, 481:5, 522:5, 511:5, 515:5, 451:5, 678:10,",
